CODE	FACULTY	NAME	STUDENT_COUNT
A_SPT	CST	English for court translators and interpreters	8
AUT_TM1	CST	Introduction to scheduling and time management for students with special needs	26
BELONG	CST	Professional Writing and Communication with Employers	6
CJV_AJ_ESL	CST	English Speaking and Listening	13
CJV_A_KPed	CST	English for Department of Pedagogy	4
CJV_A_REC	CST	English for Recetox Staff	36
CJV_A_RMU	CST	English for Staff RMU	25
CJV_A_ZZS	CST	English for ZZS Staff	18
CJV_CEFR	CST	CEFR	0
CJV_CTV	CST	CJV Thursdays	0
CJVcz4A	CST	Czech for Academics - Welcome to MU	0
CJV_DIAL	CST	Language test Dialang	989
CJV_F_Cris	CST	The economic crises of capitalism	4
CJV_F_Econ	CST	Economic French self-study	11
CJV_Fr_An	CST	French comparative online course from the English background	12
CJV_ICSDM	CST	International Communication Strategies	6
CJV_K_AGP1	CST	English Grammar in practice I (commercial course)	11
CJV_K_AGP2	CST	English Grammar in practice 2	6
CJV_K_Ar1	CST	Arabic for Absolute Beginners I (commercial course)	23
CJV_K_Ar2	CST	Arabic for Absolute Beginners 2	11
CJV_K_Ar3	CST	Arabic for Beginners I (commercial course)	5
CJV_K_Ar4	CST	Arabic for Beginners II	4
CJV_K_Czes	CST	Czech for Exchange Students	36
CJV_K_Fr5	CST	French for Pre-intermediate I (commercial course)	10
CJV_K_Ch1	CST	Chinese for Absolute Beginners I (commercial)	6
CJV_K_Itc3	CST	Italian for Travelling A1+ (commercial course)	11
CJV_K_Itc4	CST	Italian for Travelling A2 (commercial course)	7
CJV_K_It1	CST	Italian for Absolute Beginners I (commercial course)	12
CJV_K_It2	CST	Italian for abs Beg 2	6
CJV_K_It3	CST	Italian for Beginners I (commercial course)	11
CJV_K_It4	CST	Italian for Beginners II (commercial course)	3
CJV_K_N1	CST	German for Absolute Beginners I (commercial course)	12
CJV_K_N2	CST	German for Absolute Beginners II (commercial course)	7
CJV_K_N3	CST	German for Begginers I (commercial course)	10
CJV_K_N4	CST	German for Begginers II (commercial course)	3
CJV_K_N5	CST	German for Pre-intermediate I (commercial course)	9
CJV_K_N6	CST	German for Pre-intermediate +/II (commercial course)	0
CJV_K_Pr1	CST	Portuguese for Absolute Beginners I (commercial course)	12
CJV_K_Pr2	CST	Portuguese for Absolute Beginners II (commercial course)	9
CJV_K_Sp1	CST	Spanish for Absolute Beginners I (commercial course)	19
CJV_K_Sp2	CST	Spanish for Absolute Beginners II (commercial course)	5
CJV_K_Sp5	CST	Spanish for Pre-intermediate I	9
CJV_K_Sp6	CST	Spanish for Pre-intermediate II	2
CJV_K_Sw1	CST	Swahili for Absolute Beginners I (commercial course)	6
CJV_K_Sw2	CST	Swahili for Absolute Beginners II (commercial course)	2
CJV_R_Econ	CST	Obchodní ruština on-line	11
CJV_R_Real	CST	Ruské reálie on-line	7
CJVU_ACS	CST	Autumn Cinema Sessions	0
CJVU_APE	CST	Assertivity in a plurilingual and pluricultural environment	7
CJVU_CG	CST	Czech - grammar practice	21
CJVU_CGP	CST	Czech - practice in grammar and orthography	4
CJVU_CP	CST	Czech - orthography practice	6
CJVU_CV	CST	Czech - pronunciation practice	21
CJVU_CzHu	CST	Czech for specific purposes - humanities	4
CJVU_CzPT	CST	Czech for specific purposes - natural sciences and engineering	3
CJVU_KDPe	CST	Communication with child patient - e-learning	0
CJVU_KP	CST	Czech - conversation for advanced	12
CJVU_KPD	CST	Development of communication and presentation skills for a successful start of one's career	6
CJVU_LeCe	CST	Summer with Czech	7
CJVU_SCS	CST	Summer Cinema Sessions - online cinema club	6
CJVU_TS21	CST	Transferable Skills for 21 century. Development of Communication and Presentation Competencies in Fo	0
CJVU_WBe	CST	Wellbeing culture in the student life	5
CJVU_WBES	CST	Wellbeing culture in the student life (semestral course)	10
CJV_ZTP	CST	Pracovní skupina Zkouška z češtiny pro trvalý pobyt	0
CORE019	CST	Advances and Challenges in Modern Biology	47
CORE020	CST	The Digital World: Technology, Potentials and Risks	99
CORE040	CST	Universal design - inclusion of alterity - accessibility	27
CORE042	CST	Data – the Answer to the Ultimate Question of Life, the Universe, and Everything...	100
CORE126	CST	Modern technologies for life-science research	8
CORE128	CST		7
Cz_SUE	CST	Czech for Specific Purposes - e-learning	44
CZS40	CST	International Law and Human Rights	16
CZS44	CST	International Security: Practical Insights	13
CZS50	CST	Intercultural Communication	20
CZS55	CST	Approach to Migration in Europe & V4 countries	10
CZS60	CST	Applied Internships	3
CZS66	CST	Challenges of Post-Communism: From the Collapse of the Soviet Bloc to the Central and Eastern Europe	8
CZS67	CST	Culture and Communication Seminar	3
CZS68	CST	Beyond the Past-Present Linkages: Making and Breaking of Central and Southeast Europe	5
Cz4A_Beg1	CST	Czech for Foreign MU Staff: Beginners 1	23
Cz4A_Beg2	CST	Czech for Foreign MU Staff: Beginners 2	10
Cz4A_Elem1	CST	Czech for Foreign MU Staff: Elementary 1	13
Cz4A_Elem2	CST	Czech for Foreign MU Staff: Elementary 2	8
Cz4A_Impr	CST	Czech for Foreign MU Staff: Improve your Czech skills	11
Cz4A_Int1	CST	Czech for Foreign MU Staff: Intermediate 1	5
Cz4A_Int2	CST	Czech for Foreign MU Staff: Intermediate 2	6
Cz4A_PreI1	CST	Czech for Foreign MU Staff: Pre-Intermediate 1	13
Cz4A_PreI2	CST	Czech for Foreign MU Staff: Pre-Intermediate 2	10
DYTP01	CST	DysTest	1
FR_EL	CST	FRESHERS: Skills for Research Career	144
KCZJ01	CST	Czech Sign Language conversation	8
LC_ICUS241	CST	Intensive Czech for University Studies I	16
LC_ICUS242	CST	Intensive Czech for University Studies II	16
LC_ICUS245	CST	Intensive Czech for University Studies III	0
LSP_TA_Cz	CST	Teaching assistant of teacher of Czech for foreigner	2
LSP_TA_E	CST	Language teaching assistant - English	3
LSP_TA_F	CST	LAP and LSP teacher assistant - French	5
LSP_TA_G	CST	LAP and LSP teacher assistant - German	1
LSP_TA_It	CST	Language teaching assistant - Italian	1
LSP_TA_R	CST	LAP and LSP teacher assistant - Russian	6
LSP_TA_S	CST	LAP and LSP teacher assistant - Spanish	6
NPO_ARC	CST	Academic Reading Course	1
NPO_AVO	CST		10
NPO_BE	CST		1
NPO_CCTP	CST	Critical and Creative Thinking for Professional Problem-Solving and Decision-Making	0
NPO_EIAT	CST	Communication of Evaluation, Feedback, Reflection, and Self-reflection in an Intercultural Academic	0
NPO_ENAM	CST	Effective Negotiation, Argumentation, Mediation, and Conflict Resolution in Intercultural Environmen	0
NPO_FLG	CST	Francouzské lexikum a gramatika pro právníky on-line	6
NPO_ICA	CST	International Communication for admin staff	9
NPO_JAWS	CST	Writing for Scientists	14
NPO_OFr	CST	Online kurz zaměřený na obchodní francouzštinu	13
NPO_OIE	CST	Organization of international Events course	9
NPO_PCA	CST	Pluricultural competences in action	3
NPO_PRP	CST	Promoting the development of plurilingualism and pluriculturalism in the academic environment	0
NPO_PSp	CST	Spanish for Lawyers online	5
NPO_RS	CST	Grammar - German lawyer language	4
NPO_TPT	CST	Techniky práce s (cizojazyčným) textem	0
NPO_TUPP	CST	Translation with Utilization of Plurilingualism in Professional Life	0
NPO_WL	CST	Better Academic Writing in English	18
PPSR_ECLAP	CST	Exploring endangered cultures in Latin America from Pluricultural Perspectives	0
PPSR_FP	CST	Colloquial French	45
PPSR_LEBT	CST	Let´s Explore Brno Together!	132
PPSR_SCPSO	CST	Sharpen Your Communication and Presentation Skills Online	1
RSCZJ01	CST	Czech Sign Language Video Analysis seminar	9
SGD	CST		7
SPAJK001	CST	English for hearing impaired students - conversation	1
SPCZJ01	CST	Czech Sign Language I	31
SPCZJ01Z	CST	Czech Sign Language I	7
SPCZJ02	CST	Czech Sign Language II	16
SPCZJ02Z	CST	Czech Sign Language II	10
SPUa_PJV	CST	Supportive language course for students with SLDs	5
u3v_DU1	CST		146
u3v_DU2	CST		0
u3v_KA_a	CST		0
u3v_KA_b	CST		0
u3v_KA_c	CST		0
u3v_KA_d	CST		0
u3v_KKA01	CST		10
u3v_KKA02	CST		12
u3v_KKA03	CST		10
u3v_KKA04	CST		12
u3v_KKA05	CST		10
u3v_KKA06	CST		14
u3v_KKF01	CST		7
u3v_KKF02	CST		8
u3v_KKH2	CST		84
u3v_KKN01	CST		11
u3v_KKN02	CST		11
u3v_KKP02	CST		21
u3v_KKP03	CST		29
u3v_KKP04	CST		17
u3v_KKP05	CST		0
u3v_KKP09	CST		17
u3v_KKP10	CST		19
u3v_KKP11	CST		11
u3v_KKP12	CST		17
u3v_KKS02	CST		9
u3v_KKS03	CST		8
u3v_KK53e	CST		38
u3v_KK63	CST		9
u3v_KK69	CST		30
u3v_KK71	CST		18
u3v_KK73	CST		11
u3v_KK74	CST		118
u3v_KK77	CST		48
u3v_KK78	CST		4
u3v_KK79	CST		95
u3v_MZM	CST		0
u3v_PECE	CST		0
u3v_UD3	CST		0
u3v_vsm	CST		97
u3v_VZKTLC	CST		0
u3v_VZK1	CST		99
u3v_VZK2	CST		0
u3v_VZK3	CST		0
u3v_ZVP1	CST		16
u3v_ZVP2	CST		0
ZADS01	CST	Basis of Questionnaire Survey (Test)	3
ZPIT01	CST	Efficient usage of learning and information resources for visually impaired	2
ZPPOZ01	CST	Basics of Orientation & Mobility for the Visually Impaired	0
BDX_AKAP	ESF	Academic writing	693
BKE_CARA	ESF	Time Series	17
BKE_ZAEE	ESF	Introduction to Econometrics	20
BKE_ZAKE	ESF	Principles of Economics	59
BKE_ZEKO	ESF	Principles of Economics	50
BKF_BAN1	ESF	Banking I	42
BKF_BAS1	ESF	Bachelor Thesis Seminar 1	1
BKF_BAS2	ESF	Bachelor Thesis Seminar 2	2
BKF_DAEV	ESF	Tax evidence	39
BKF_FIC1	ESF	Financial Accounting 1	106
BKF_FIMA	ESF	Financial Mathematics	41
BKF_FIRI	ESF	Finance management	58
BKF_FITR	ESF	Financial Markets	44
BKF_FIU2	ESF	Financial Accounting 2	25
BKF_POJ1	ESF	Insurance Industry	35
BKF_PRAX	ESF	Internships	24
BKF_SZP1	ESF	Final Thesis Seminar 1	22
BKF_SZP2	ESF	Final Thesis Seminar 2	4
BKF_TEZP	ESF	Thesis	16
BKF_ZAFI	ESF	Basic Finance	90
BKF_ZOZJ	ESF	Preparation for proficiency tests - Insurance	21
BKF_ZOZK	ESF	Preparations for Professional Qualifications - Capital Markets	20
BKF_ZOZP	ESF	Preparation for proficiency tests - Pensions	21
BKF_ZOZU	ESF	Preparations for Professional Qualifications - Consumer Loans	16
BKH_BAS1	ESF	Bachelor Thesis Seminar 1	0
BKH_BAS2	ESF	Bachelor Thesis Seminar 2	0
BKH_DIMA	ESF	Digital Marketing	37
BKH_EKPO	ESF	Basics of Business economics	43
BKH_KOPO	ESF	Communication in the company	25
BKH_MAN1	ESF	Management	0
BKH_MAUC	ESF	Managerial accounting	49
BKH_OLTO	ESF	Business logistics and retail technology	26
BKH_PEMA	ESF	Personnel Management	20
BKH_PRAX	ESF	Internships	17
BKH_PRMA	ESF	Project management	37
BKH_SZP1	ESF	Final Thesis Seminar 1	9
BKH_SZP2	ESF	Final Thesis Seminar 2	6
BKH_TEBP	ESF	Bachelor Thesis	0
BKH_TEZP	ESF	Thesis	12
BKH_ZAMO	ESF	Basics of marketing in business	57
BKH_ZAPO	ESF	Business Basics	35
BKH_ZEOP	ESF	Basics of business economics and business operations management	29
BKH_ZMAN	ESF	Basics of Management	154
BKJ_JAJR	ESF	Foreign Language English	0
BKJ_JAJ1	ESF	Foreign Language English	0
BKJ_JFJR	ESF	Foreign Language	0
BKJ_JFJ1	ESF	Foreign Language	0
BKJ_JNJR	ESF	Foreign Language	1
BKJ_JNJ1	ESF	Foreign Language	0
BKJ_JSJR	ESF	Foreign Language Spanish	0
BKJ_JSJ1	ESF	Foreign Language Spanish	0
BKJ_JZA1	ESF	Foreign Language English	25
BKJ_JZA2	ESF	Foreign Language English	44
BKJ_JZN2	ESF	Foreign Language German	1
BKJ_VTJA	ESF	Introductory test into language	101
BKM_APS1	ESF	Applied Statistics 1	24
BKM_APS2	ESF	Applied Statistics 2	14
BKM_DAMI	ESF	Datamining	17
BKM_DATS	ESF	Database systems	19
BKM_EODA	ESF	Ethics and data protection in business environment	41
BKM_EXCL	ESF	Excel	17
BKM_MABA	ESF	Mathematics for Business Analytics	32
BKM_OPRO	ESF	Optimization and Decision Making	12
BKM_PRAX	ESF	Internships	13
BKM_SZP1	ESF	Final Thesis Seminar 1	10
BKM_SZP2	ESF	Final Thesis Seminar 2	4
BKM_TEZP	ESF	Thesis	8
BKM_USQL	ESF	Introduction to SQL	33
BKM_UVOR	ESF	Introduction to R	34
BKM_VIBD	ESF	Business Data Visualization	35
BKM_VTAB	ESF	Selected topics of business data analysis	23
BKM_ZASE	ESF	Elementary introductory statistics	50
BKP_OPRO	ESF	Business law	72
BKP_ZAPR	ESF	Introduction to Law	84
BKR_MACR	ESF	Marketing - Tourism	4
BKR_MKHU	ESF	Management of cultural values in the territory	1
BKR_MSSP	ESF	Retail network and consumer preferences	23
BKR_ONAZ	ESF	Real Estates and Natural Sources Evaluation	36
BKR_PRAX	ESF	Internships	1
BKR_PROP	ESF	Spatial Planning in CR and EU	4
BKR_RROP	ESF	Management of development projects	5
BKR_SPDE	ESF	Strategic planning in destination	5
BKR_SZP1	ESF	Final Thesis Seminar 1	1
BKR_SZP2	ESF	Final Thesis Seminar 2	3
BKR_TEZP	ESF	Thesis	0
BKV_AKVS	ESF	Auditing and Controling in Public Sector	3
BKV_BAS1	ESF	Bachelor Thesis Seminar 1	0
BKV_BAS2	ESF	Bachelor Thesis Seminar 2	0
BKV_DANY	ESF	System of Taxation	23
BKV_DASY	ESF	System of Taxation	23
BKV_ERNO	ESF	Economy and Management of Non-profit Organisations	32
BKV_MVVS	ESF	Marketing, fundraising and communication in non-profit sector	40
BKV_TEBP	ESF	Bachelor Thesis	0
BKV_VEF1	ESF	Public Finance 1	3
BKV_ZAVF	ESF	Introduction to Public Finance	34
BKV_ZVFS	ESF	Introduction to Public Finance and Public Administration	27
BKX_AAOP	ESF	Academic and professional writing	112
BPE_AEPO	ESF	Economic Policy	62
BPE_BAS1	ESF	Bachelor Thesis Seminar 1	77
BPE_BAS2	ESF	Bachelor Thesis Seminar 2	12
BPE_CARA	ESF	Time Series	90
BPE_DET1	ESF	History of Economic Theories 1	153
BPE_HET1	ESF	History of Economic Thought	11
BPE_HOD1	ESF	Economic History 1	49
BPE_HOPS	ESF	Economic Policy seminar	31
BPE_HOP1	ESF	Economic Policy 1	322
BPE_INEC	ESF	Introduction to Econometrics	24
BPE_LABE	ESF	Labour Economics	132
BPE_MAC1	ESF	Macroeconomics 1	57
BPE_MAE1	ESF	Macroeconomics 1	599
BPE_MIC1	ESF	Microeconomics 1	70
BPE_MIE1	ESF	Microeconomics 1	679
BPE_MOEK	ESF	Monetary Economics	107
BPE_SDET	ESF	Seminar in the History of Economic Theory	99
BPE_SMOE	ESF	Monetary Economics seminar	65
BPE_TEBP	ESF	Bachelor Thesis	10
BPE_WOEC	ESF	World Economy	24
BPE_ZAEK	ESF	Introduction to Econometrics	318
BPE_ZATH	ESF	Introduction to Game Theory	84
BPE_ZEKO	ESF	Principles of Economics	288
BPF_AFIA	ESF	Financial Accounting	29
BPF_AFIM	ESF	Financial Markets	48
BPF_AFIN	ESF	Finance (Basics)	59
BPF_AFMA	ESF	Financial Management	48
BPF_AFMT	ESF	Financial Mathematics	26
BPF_ARMI	ESF	Risk Management and Insurance	25
BPF_BANK	ESF	Banking	26
BPF_BAN1	ESF	Banking 1	10
BPF_BAS1	ESF	Bachelor Thesis Seminar 1	70
BPF_BAS2	ESF	Bachelor Thesis Seminar 2	16
BPF_BEFI	ESF	Behavioral finance	122
BPF_FIMA	ESF	Financial Mathematics	110
BPF_FIMG	ESF	Financial Management	347
BPF_FITR	ESF	Financial Markets	223
BPF_FIU1	ESF	Financial Accounting 1	523
BPF_FIU2	ESF	Financial Accounting 2	168
BPF_POJ1	ESF	Insurance Industry 1	177
BPF_STAF	ESF	Statistics for finance	89
BPF_TEBP	ESF	Bachelor Thesis Assignment	17
BPF_ZAFI	ESF	Basic Finance	384
BPH_ABEC	ESF	Business Economics	30
BPH_ABLT	ESF	Business Logistics	22
BPH_ACEC	ESF	Corporate Economics	40
BPH_AHMR	ESF	Human Resources Management	23
BPH_AMA1	ESF	Marketing	72
BPH_AMBE	ESF	Management	48
BPH_BAS1	ESF	Bachelor Thesis Seminar 1	97
BPH_BAS2	ESF	Bachelor Thesis Seminar 2	19
BPH_BCS1	ESF	Bachelor's seminar 1	15
BPH_BCS2	ESF	Bachelor's seminar 2	3
BPH_BCTH	ESF	Bachelor’s Thesis Assignment	4
BPH_BUPO	ESF	Business Policy	23
BPH_EKOR	ESF	Corporate Economics	223
BPH_FBPR	ESF	Foundations of Business Projects	19
BPH_IKKO	ESF	Intercultural communication	16
BPH_INSM	ESF	Introduction to Strategic Management	15
BPH_LOGI	ESF	Logistics	42
BPH_MAAC	ESF	Managerial accounting	51
BPH_MAN1	ESF	Management	360
BPH_MAR1	ESF	Marketing	77
BPH_MAUC	ESF	Managerial Accounting	167
BPH_MGPS	ESF	Managerial Psychology	149
BPH_PINF	ESF	Business Informatics	21
BPH_PIS1	ESF	Corporate Information Systems 1	28
BPH_PIS2	ESF	Corporate Information Systems 2	21
BPH_PMAN	ESF	Operations Management	101
BPH_PRRI	ESF	Basics project management	145
BPH_STAZ	ESF	Internship	0
BPH_TEBP	ESF	Bachelor Thesis	14
BPH_UPEM	ESF	Introduction to business economics and management	303
BPH_USPI	ESF	Introduction to Management Information Systems	31
BPH_ZAFI	ESF	Fundamentals of argumentation and ethics	145
BPH_ZAPO	ESF	Business Basics	38
BPH_ZMAN	ESF	Principles of Management	161
BPJ_CMIC	ESF	Computer mediated intercultural communication	8
BPJ_JAJR	ESF	Foreign Language English	4
BPJ_JFJR	ESF	Foreign Language French	0
BPJ_JI1A	ESF	Foreign Language I/1 - English	643
BPJ_JI1F	ESF	Foreign Language I/1 - French	4
BPJ_JI1N	ESF	Foreign Language I/1 - German	15
BPJ_JI1S	ESF	Foreign Language I/1 - Spanish	10
BPJ_JI2A	ESF	Foreign Language I/2 - English	552
BPJ_JI2F	ESF	Foreign Language I/2 - French	3
BPJ_JI2N	ESF	Foreign Language I/2 - German	2
BPJ_JI2S	ESF	Foreign Language I/2 - Spanish	7
BPJ_JI3A	ESF	Foreign Language I/3 - English	379
BPJ_JI3F	ESF	Foreign Language I/3 - French	1
BPJ_JI3N	ESF	Foreign Language I/3 - German	8
BPJ_JI3S	ESF	Foreign Language I/1 - Spanish	4
BPJ_JI4A	ESF	Foreign Language I/4 - English	376
BPJ_JI4F	ESF	Foreign Language I/4 - French	2
BPJ_JI4N	ESF	Foreign Language I/4 - German	7
BPJ_JI4S	ESF	Foreign Language I/4 - Spanish	3
BPJ_JNJR	ESF	Foreign Language German	0
BPJ_JSJR	ESF	Foreign Language Spanish	0
BPJ_OCEP	ESF	Professional Czech for economists - advanced	5
BPJ_PJIE	ESF	Presentation skills in English	53
BPJ_ZKJA	ESF	Examination of Language	0
BPM_AOME	ESF	Quantitative Methods for Decision Making	28
BPM_EMTK	ESF	Economic modeling in spreadsheet	74
BPM_MAEK	ESF	Mathematics for economists	591
BPM_MTHA	ESF	Mathematics A	58
BPM_MTH0	ESF	Mathematics 0	36
BPM_STAE	ESF	Statistics for economists	439
BPM_ST1A	ESF	Statistics 1	41
BPM_ST2A	ESF	Statistics 2	37
BPP_OPR1	ESF	Corporate Law	41
BPP_PRMO	ESF	International Trade Law	29
BPP_SPPR	ESF	Administrative Law for Public Economy	84
BPP_ZAPR	ESF	Introduction to Law	595
BPR_BAS1	ESF	Bachelor Thesis Seminar 1	25
BPR_BAS2	ESF	Bachelor Thesis Seminar 2	8
BPR_CERU	ESF	Tourism	98
BPR_DEMO	ESF	Demography	111
BPR_EKGE	ESF	Economic Geography	243
BPR_GECR	ESF	Geography of Tourism	89
BPR_ITRD	ESF	Impacts of the Transformation on the Regional Development	69
BPR_MACR	ESF	Marketing of Tourism	26
BPR_MGCR	ESF	Tourism management	41
BPR_OPRA	ESF	Special Working Experience	0
BPR_PIEU	ESF	Policies, Institutions and EU Law	62
BPR_PIPE	ESF	Policies, Institutions and EU law	518
BPR_PMUR	ESF	Planning and management in territorial development	48
BPR_REK1	ESF	Regional Economics 1	65
BPR_TEBP	ESF	Bachelor Thesis	3
BPV_ACAD	ESF	Academic writing	60
BPV_AIPP	ESF	Introduction to Public Policies	35
BPV_APEC	ESF	Public Economics	51
BPV_APPA	ESF	Research studies	12
BPV_APUA	ESF	Public Administration	24
BPV_BAS1	ESF	Bachelor Thesis Seminar 1	64
BPV_BAS2	ESF	Bachelor Thesis Seminar 2	8
BPV_BCS1	ESF	Bachelor's seminar 1	7
BPV_BCS2	ESF	Bachelor's seminar 2	0
BPV_BCTH	ESF	Bachelor’s Thesis Assignment	1
BPV_CMME	ESF	Culture and Mass Media Economics	31
BPV_DASY	ESF	Taxation System	182
BPV_EPSI	ESF	Economic, Political and Social Identity in the European Union	19
BPV_ERNO	ESF	Economy and Management of Non-profit Organizations	149
BPV_EUPP	ESF	European Union Public Policy	31
BPV_EVSE	ESF	Economy of Public Sector	88
BPV_IEBE	ESF	Introduction to Experimental and Behavioral Economics	22
BPV_MVVS	ESF	Marketing, fundraising and Communication in Non-profit Sector	80
BPV_SEAP	ESF	Sport economics and policy	18
BPV_SOPE	ESF	Economic Sociology	74
BPV_TEBP	ESF	Bachelor Thesis	8
BPV_TRPS	ESF	Reforms in the Public Sector	17
BPV_URVS	ESF	Accounting and Analyses in Public Sector	43
BPV_VEEK	ESF	Public Economics	381
BPV_VEF1	ESF	Public Finance 1	240
BPV_VESP	ESF	Public and social policy	47
BPV_VES1	ESF	Public Administration I	114
BPV_ZAPO	ESF	Introduction to Political Science	13
BPV_ZVFS	ESF	Introduction to Public Finance and Public Administration	3
CKH_CONT	ESF	Controllership	19
CKH_CHZS	ESF	Customer and consumer behavior, CRM and complaints and grievances management	19
CKH_KOPO	ESF	Communication in the company	18
CKH_KPIM	ESF	Communication policy and instore marketing	19
CKH_OLTO	ESF	Business logistics and retail technology	18
CKH_PEMA	ESF	Personnel Management	18
CKH_PRMA	ESF	Project management	19
CKJ_JA3P	ESF	English	5
CKJ_JA3Z	ESF	English	4
CKJ_JA4P	ESF	English	4
CKJ_JA4Z	ESF	English	4
CKJ_JN3P	ESF	German	7
CKJ_JN3Z	ESF	German	3
CKJ_JN4P	ESF	German	7
CKJ_JN4Z	ESF	German	3
CKR_LMVP	ESF	Location of retail and wholesale operations	18
CORE011	ESF	Economic style of thinking	102
CORE046	ESF	Financial wellness	50
CORE047	ESF	Basics of successful business	95
CORE081	ESF	Cooperation and competition	22
CORE082	ESF	Smart city and quality of life	34
CORE129	ESF	The basics of marketing	35
CORE132	ESF	Leadership for the 21st Century	10
CORE134	ESF	Fundamentals of the global world of finance	59
CPF_JCUV	ESF	How to read financial statements	7
CPM_REMA	ESF	Repetition of mathematics	0
CXM_EXPP	ESF	EXCEL for advanced	1
CXM_EXPZ	ESF	EXCEL for beginners	3
CXM_PBIP	ESF	Power BI for advanced	0
CXM_PBIZ	ESF	Power BI for beginners	6
CXR_IRRP	ESF	Investment decision-making in the management of regional development projects	1
CXR_IRRP_M	ESF	Investment decision-making in the management of regional development – projects microcertificate	0
CXR_VPPR	ESF	Selected spatial development issues	0
CXV_EPRI	ESF	How to effectively prepare and implement a public investment	1
CXV_POOB	ESF	Municipal business	0
CXV_VZSC	ESF	Public procurement with a focus on construction activities	1
CXV_VZSC_M	ESF	Public procurement with a focus on construction activities	0
DXE_EMTR	ESF	Econometrics	9
DXE_EMT2	ESF	Econometrics 2	5
DXE_EREC	ESF	Essentials of R for Econometrics	3
DXE_FADA	ESF	Faking data (in a good way): size, power, and the replication crisis	0
DXE_HOPO	ESF	Economic Policy	2
DXE_OSTA	ESF	Internship	0
DXE_PDPR	ESF	Preparation of the dissertation	9
DXE_POMV	ESF	Teaching assistance	7
DXE_PREZ	ESF	Research Workshop	0
DXE_SLIT	ESF	Study of literature	5
DXE_ZSTA	ESF	Internship abroad	3
DXF_OCAK	ESF	Asset Pricing	1
DXF_OSTA	ESF	Internship	0
DXF_PDPR	ESF	Preparation of the dissertation	10
DXF_POMV	ESF	Teaching assitance	2
DXF_PREZ	ESF	Research Workshop	0
DXF_SLIT	ESF	Study of literature	1
DXF_ZSTA	ESF	Internship abroad	1
DXH_MET1	ESF	Methodology 1	10
DXH_MET2	ESF	Methodology 2	5
DXH_MSTA	ESF	Multivariate Statistical Analysis	8
DXH_OSTA	ESF	Internship	0
DXH_PDPR	ESF	Preparation of the dissertation	10
DXH_POMV	ESF	Teaching assistance	1
DXH_PREZ	ESF	Research Workshop	2
DXH_PRPO	ESF	Practice in the enterprise	0
DXH_SLIT	ESF	Study of literature	3
DXH_TEFI	ESF	Theory of the firm	1
DXH_ZSTA	ESF	Internship abroad	0
DXJ_AKD1	ESF	Academic skills in English	0
DXJ_AKD2	ESF	Academic skills in English	0
DXJ_KAAA	ESF	English for academic and specific purposes competence, variant A	3
DXJ_KAAB	ESF	English for academic and specific purposes competence, variant B	2
DXR_INRR	ESF	Innovation and Regional Development	0
DXR_OSTA	ESF	Internship	0
DXR_PDPR	ESF	Preparation of the dissertation	8
DXR_POMV	ESF	Teaching assistance	1
DXR_PREZ	ESF	Research Workshop	0
DXR_REGE	ESF	Regional Economics	1
DXR_RERS	ESF	Regional research seminar	0
DXR_SLIT	ESF	Study of literature	0
DXR_ZSTA	ESF	Internship abroad	2
DXV_ECDT	ESF	Elective course on dissertation topic	1
DXV_FDLB	ESF	Fiscal Decentralisation and Local Budgeting	7
DXV_OSTA	ESF	Internship	0
DXV_PDPR	ESF	Preparation of the dissertation	7
DXV_POMV	ESF	Teaching assistance	2
DXV_PREZ	ESF	Research Workshop	0
DXV_PUEC	ESF	Public economics	2
DXV_SLIT	ESF	Study of literature	3
DXV_ZSTA	ESF	Internship abroad	1
DXX_REWA	ESF	Research Workshop Attendance	1
MKE_MAE2	ESF	Macroeconomics 2	58
MKE_MIE2	ESF	Microeconomics 2	82
MKF_AIIF	ESF	AI in Finance	1
MKF_AUDI	ESF	Auditing	11
MKF_DIS1	ESF	Diploma Thesis Seminar 1	12
MKF_DIS2	ESF	Diploma Thesis Seminar 2	9
MKF_FIFI	ESF	Corporate Finance	24
MKF_ICTU	ESF	ICT in accounting	22
MKF_MUST	ESF	International Financial Reporting	22
MKF_NEPD	ESF	Indirect taxes	16
MKF_PRID	ESF	Direct taxes	16
MKF_RDFT	ESF	Regulation and Supervision FIMA	1
MKF_RRFI	ESF	Risk management of financial institutions	1
MKF_TEDP	ESF	Master Thesis	8
MKF_TEPO	ESF	Portfolio Theory	1
MKF_UFII	ESF	Accounting of financial institutions	13
MKF_UOKK	ESF	Business accounting and consolidation	16
MKH_AIMA	ESF	International Management	1
MKH_DIS1	ESF	Diploma Thesis Seminar 1	3
MKH_DIS2	ESF	Diploma Thesis Seminar 2	5
MKH_DMSM	ESF	Digital marketing and social media analysis	1
MKH_INMG	ESF	Innovation management	1
MKH_MAUC	ESF	Managerial Accounting	23
MKH_MVPS	ESF	Case Studies to Marketing Research	1
MKH_PODN	ESF	Business	1
MKH_PRAX	ESF	Internships	0
MKH_RLIZ	ESF	Human Resources Management	1
MKH_STMG	ESF	Strategic management	1
MKH_TEDP	ESF	Master Thesis	1
MKJ_JAJ2	ESF	Foreign Language II English	12
MKJ_JAZA	ESF	Preparatory English course	1
MKJ_JFJ2	ESF	Foreign Language II	5
MKJ_JNJ2	ESF	Foreign Language II	27
MKJ_JRJ2	ESF	Foreign Language II - Russian	9
MKJ_JSJ2	ESF	Foreign Language II	6
